TimeT,AccT,VelT,PosT
0,-12.1047019047619,0.00601918909710392,-2.05083103819554e-06
2935,5.5616180952381,0,0
2940,5.5616180952381,0,0
2944,5.5616180952381,0,-0.3435115
2949,5.5616180952381,-1.7175575,0.429389375
2953,-1.3086119047619,0,0
2958,-1.3086119047619,0,0
2962,-1.3086119047619,0,0
2967,-1.3086119047619,0,-0.1472195
2971,-1.3086119047619,-0.588878,0.1177756
2976,-4.2530019047619,0,0
2980,-4.2530019047619,0,0
2985,-4.2530019047619,0,0.049073
2989,-4.2530019047619,0.196292,-0.0392584
2994,-3.2715419047619,0,0
2998,-3.2715419047619,0,0
3002,-3.2715419047619,0,0
3007,-3.2715419047619,0,-0.392585
3011,-3.2715419047619,-1.57034,0.314068
3016,-11.1232419047619,0,0
3020,-11.1232419047619,0,0
3025,-11.1232419047619,0,-0.049073
3029,-11.1232419047619,-0.196292,0.0392584
3034,-12.1047019047619,0,0
3038,-12.1047019047619,0,0
3043,-12.1047019047619,0,0
3047,-12.1047019047619,0,0.2453655
3052,-12.1047019047619,1.2268275,-0.306706875
3056,-7.1973919047619,0,0
3061,-7.1973919047619,0,0
3065,-7.1973919047619,0,0.4907315
3070,-7.1973919047619,2.4536575,-0.613414375
3074,2.6172380952381,0,0
3079,2.6172380952381,0,0
3083,2.6172380952381,0,0
3088,2.6172380952381,0,0.049073
3092,2.6172380952381,0.196292,-0.0392584
3097,3.5986980952381,0,0
3101,3.5986980952381,0,0
3106,3.5986980952381,0,0.1472195
3110,3.5986980952381,0.588878,-0.1177756
3115,6.5430880952381,0,0
3119,6.5430880952381,0,0
3124,6.5430880952381,0,0
3128,6.5430880952381,0,-0.245366
3133,6.5430880952381,-1.22683,0.3067075
3137,1.6357680952381,0,0
3141,1.6357680952381,0,0
3146,1.6357680952381,0,-0.049073
3150,1.6357680952381,-0.196292,0.0392584
3155,0.654308095238097,0,0
3159,0.654308095238097,0,0
3164,0.654308095238097,0,0
3168,0.654308095238097,0,0.294439
3173,0.654308095238097,1.472195,-0.36804875
3177,6.5430880952381,0,0
3182,6.5430880952381,0,0
3186,6.5430880952381,0,-0.5888775
3191,6.5430880952381,-2.9443875,0.736096875
3195,-5.2344619047619,0,0
3200,-5.2344619047619,0,0
3204,-5.2344619047619,0,0
3209,-5.2344619047619,0,-0.294439
3213,-5.2344619047619,-1.177756,0.2355512
3218,-11.1232419047619,0,0
3222,-11.1232419047619,0,0
3227,-11.1232419047619,0,0.1472195
3231,-11.1232419047619,0.588878,-0.1177756
3236,-8.1788519047619,0,0
3240,-8.1788519047619,0,0
3245,-8.1788519047619,0,0
3249,-8.1788519047619,0,-0.049073
3254,-8.1788519047619,-0.245365,0.06134125
3258,-9.1603119047619,0,0
3263,-9.1603119047619,0,0
3267,-9.1603119047619,0,0.7360965
3272,-9.1603119047619,3.6804825,-0.920120625
3276,5.5616180952381,0,0
3280,5.5616180952381,0,0
3285,5.5616180952381,0,0
3289,5.5616180952381,0,0.4907315
3294,5.5616180952381,2.4536575,-0.613414375
3298,15.3762480952381,0,0
3303,15.3762480952381,0,0
3307,15.3762480952381,0,0.1962925
3312,15.3762480952381,0.9814625,-0.245365625
3316,19.3020980952381,0,0
3321,19.3020980952381,0,0
3325,19.3020980952381,0,0
3330,19.3020980952381,0,-0.6379505
3334,19.3020980952381,-2.551802,0.5103604
3339,6.5430880952381,0,0
3343,6.5430880952381,0,0
3348,6.5430880952381,0,-0.245366
3352,6.5430880952381,-0.981464,0.1962928
3357,1.6357680952381,0,0
3361,1.6357680952381,0,0
3366,1.6357680952381,0,0
3370,1.6357680952381,0,0.1962925
3375,1.6357680952381,0.9814625,-0.245365625
3379,5.5616180952381,0,0
3384,5.5616180952381,0,0
3388,5.5616180952381,0,0.0490735000000001
3393,5.5616180952381,0.2453675,-0.0613418750000001
3397,6.5430880952381,0,0
3402,6.5430880952381,0,0
3406,6.5430880952381,0,0
3411,6.5430880952381,0,-0.4907315
3415,6.5430880952381,-1.962926,0.3925852
3420,-3.2715419047619,0,0
3424,-3.2715419047619,0,0
3428,-3.2715419047619,0,-0.392585
3433,-3.2715419047619,-1.962925,0.49073125
3437,-11.1232419047619,0,0
3442,-11.1232419047619,0,0
3446,-11.1232419047619,0,0
3451,-11.1232419047619,0,0.5398045
3455,-11.1232419047619,2.159218,-0.4318436
3460,-0.327151904761903,0,0
3464,-0.327151904761903,0,0
3469,-0.327151904761903,0,0.490731
3473,-0.327151904761903,1.962924,-0.3925848
3478,9.4874680952381,0,0
3482,9.4874680952381,0,0
3487,9.4874680952381,0,0
3491,9.4874680952381,0,0
