TimeT,AccT,VelT,PosT
0,-13.2731095238095,0.00603548249763482,-2.85500591184239e-06
2114,-0.514099523809518,0,0
2118,-0.514099523809518,0,0
2123,-0.514099523809518,0,-0.392585
2127,-0.514099523809518,-1.57034,0.314068
2132,-8.36579952380952,0,0
2136,-8.36579952380952,0,0
2140,-8.36579952380952,0,0.294439
2145,-8.36579952380952,1.472195,-0.36804875
2149,-2.47701952380952,0,0
2154,-2.47701952380952,0,0
2158,-2.47701952380952,0,0
2163,-2.47701952380952,0,0
2167,-2.47701952380952,0,0
2172,-2.47701952380952,0,0
2176,-2.47701952380952,0,0
2181,-2.47701952380952,0,0
2185,-2.47701952380952,0,0
2190,-2.47701952380952,0,0
2194,-2.47701952380952,0,0
2199,-2.47701952380952,0,0
2203,-2.47701952380952,0,-0.343512
2208,-2.47701952380952,-1.71756,0.42939
2212,-9.34725952380952,0,0
2217,-9.34725952380952,0,0
2221,-9.34725952380952,0,-0.1962925
2226,-9.34725952380952,-0.9814625,0.245365625
2230,-13.2731095238095,0,0
2235,-13.2731095238095,0,0
2239,-13.2731095238095,0,0
2244,-13.2731095238095,0,0.441658
2248,-13.2731095238095,1.766632,-0.3533264
2253,-4.43994952380952,0,0
2257,-4.43994952380952,0,0
2262,-4.43994952380952,0,0.1962925
2266,-4.43994952380952,0.78517,-0.157034
2271,-0.514099523809518,0,0
2275,-0.514099523809518,0,0
2279,-0.514099523809518,0,0
2284,-0.514099523809518,0,0.049073
2288,-0.514099523809518,0.196292,-0.0392584
2293,0.467360476190482,0,0
2297,0.467360476190482,0,0
2302,0.467360476190482,0,0
2306,0.467360476190482,0,0
2311,0.467360476190482,0,0
2315,0.467360476190482,0,0
2320,0.467360476190482,0,0
2324,0.467360476190482,0,-0.147219
2329,0.467360476190482,-0.736095,0.18402375
2333,-2.47701952380952,0,0
2338,-2.47701952380952,0,0
2342,-2.47701952380952,0,-0.0490735
2347,-2.47701952380952,-0.2453675,0.061341875
2351,-3.45848952380952,0,0
2356,-3.45848952380952,0,0
2360,-3.45848952380952,0,0
2365,-3.45848952380952,0,0.0490735
2369,-3.45848952380952,0.196294,-0.0392588
2374,-2.47701952380952,0,0
2378,-2.47701952380952,0,0
2383,-2.47701952380952,0,0.1962925
2387,-2.47701952380952,0.78517,-0.157034
2392,1.44883047619048,0,0
2396,1.44883047619048,0,0
2401,1.44883047619048,0,0
2405,1.44883047619048,0,0.392585
2410,1.44883047619048,1.962925,-0.49073125
2414,9.30053047619048,0,0
2419,9.30053047619048,0,0
2423,9.30053047619048,0,0.2453655
2427,9.30053047619048,0.981462,-0.1962924
2432,14.2078404761905,0,0
2436,14.2078404761905,0,0
2441,14.2078404761905,0,0
2445,14.2078404761905,0,0.343512
2450,14.2078404761905,1.71756,-0.42939
2454,21.0780804761905,0,0
2459,21.0780804761905,0,0
2463,21.0780804761905,0,-0.5888775
2468,21.0780804761905,-2.9443875,0.736096875
2472,9.30053047619048,0,0
2477,9.30053047619048,0,0
2481,9.30053047619048,0,0
2486,9.30053047619048,0,-0.4907315
2490,9.30053047619048,-1.962926,0.3925852
2495,-0.514099523809518,0,0
2499,-0.514099523809518,0,0
2504,-0.514099523809518,0,-0.392585
2508,-0.514099523809518,-1.57034,0.314068
2513,-8.36579952380952,0,0
2517,-8.36579952380952,0,0
2522,-8.36579952380952,0,0
2526,-8.36579952380952,0,-0.1962925
2531,-8.36579952380952,-0.9814625,0.245365625
2535,-12.2916495238095,0,0
2540,-12.2916495238095,0,0
2544,-12.2916495238095,0,-0.147219
2549,-12.2916495238095,-0.736095,0.18402375
2553,-15.2360295238095,0,0
2558,-15.2360295238095,0,0
2562,-15.2360295238095,0,0
2566,-15.2360295238095,0,0.2453655
2571,-15.2360295238095,1.2268275,-0.306706875
2575,-10.3287195238095,0,0
2580,-10.3287195238095,0,0
2584,-10.3287195238095,0,0.5888775
2589,-10.3287195238095,2.9443875,-0.736096875
2593,1.44883047619048,0,0
2598,1.44883047619048,0,0
2602,1.44883047619048,0,0
2607,1.44883047619048,0,0.098146
2611,1.44883047619048,0.392584,-0.0785168
2616,3.41175047619048,0,0
2620,3.41175047619048,0,0
2625,3.41175047619048,0,0.0490729999999999
2629,3.41175047619048,0.196292,-0.0392583999999999
2634,4.39321047619048,0,0
2638,4.39321047619048,0,0
2643,4.39321047619048,0,0
2647,4.39321047619048,0,-0.0981459999999999
2652,4.39321047619048,-0.49073,0.1226825
2656,2.43029047619048,0,0
2661,2.43029047619048,0,0
2665,2.43029047619048,0,0.049073
2670,2.43029047619048,0.245365,-0.06134125
2674,3.41175047619048,0,0
2679,3.41175047619048,0,0
2683,3.41175047619048,0,0
2688,3.41175047619048,0,0.1472195
2692,3.41175047619048,0.588878,-0.1177756
2697,6.35614047619048,0,0
2701,6.35614047619048,0,0
2705,6.35614047619048,0,0.1962925
2710,6.35614047619048,0.9814625,-0.245365625
2714,10.2819904761905,0,0
2719,10.2819904761905,0,0
2723,10.2819904761905,0,0
2728,10.2819904761905,0,-0.1962925
2732,10.2819904761905,-0.78517,0.157034
2737,6.35614047619048,0,0
2741,6.35614047619048,0,0
2746,6.35614047619048,0,-0.1472195
