TimeT,AccT,VelT,PosT
0,-16.3577071428571,0.00848934166266218,-4.07945298542152e-06
2081,1.30861285714286,0,0
2086,1.30861285714286,0,0
2090,1.30861285714286,0,-0.1962925
2095,1.30861285714286,-0.9814625,0.245365625
2099,-2.61723714285714,0,0
2103,-2.61723714285714,0,0
2108,-2.61723714285714,0,0.0981465
2112,-2.61723714285714,0.392586,-0.0785172
2117,-0.654307142857141,0,0
2121,-0.654307142857141,0,0
2126,-0.654307142857141,0,0
2130,-0.654307142857141,0,-0.1472195
2135,-0.654307142857141,-0.7360975,0.184024375
2139,-3.59869714285714,0,0
2144,-3.59869714285714,0,0
2148,-3.59869714285714,0,-0.098146
2153,-3.59869714285714,-0.49073,0.1226825
2157,-5.56161714285714,0,0
2162,-5.56161714285714,0,0
2166,-5.56161714285714,0,0
2171,-5.56161714285714,0,0.147219
2175,-5.56161714285714,0.588876,-0.1177752
2180,-2.61723714285714,0,0
2184,-2.61723714285714,0,0
2189,-2.61723714285714,0,0.0981465
2193,-2.61723714285714,0.392586,-0.0785172
2198,-0.654307142857141,0,0
2202,-0.654307142857141,0,0
2207,-0.654307142857141,0,0
2211,-0.654307142857141,0,0.0981459999999999
2216,-0.654307142857141,0.49073,-0.1226825
2220,1.30861285714286,0,0
2225,1.30861285714286,0,0
2229,1.30861285714286,0,0
2234,1.30861285714286,0,0
2238,1.30861285714286,0,0
2243,1.30861285714286,0,0
2247,1.30861285714286,0,0
2251,1.30861285714286,0,0
2256,1.30861285714286,0,0
2260,1.30861285714286,0,0
2265,1.30861285714286,0,0
2269,1.30861285714286,0,0.245366
2274,1.30861285714286,1.22683,-0.3067075
2278,6.21593285714286,0,0
2283,6.21593285714286,0,0
2287,6.21593285714286,0,0
2292,6.21593285714286,0,-0.245366
2296,6.21593285714286,-0.981464,0.1962928
2301,1.30861285714286,0,0
2305,1.30861285714286,0,0
2310,1.30861285714286,0,-0.0490729999999999
2314,1.30861285714286,-0.196292,0.0392583999999999
2319,0.32715285714286,0,0
2323,0.32715285714286,0,0
2328,0.32715285714286,0,0
2332,0.32715285714286,0,0.1472195
2337,0.32715285714286,0.7360975,-0.184024375
2341,3.27154285714286,0,0
2346,3.27154285714286,0,0
2350,3.27154285714286,0,-0.0981465
2355,3.27154285714286,-0.4907325,0.122683125
2359,1.30861285714286,0,0
2364,1.30861285714286,0,0
2368,1.30861285714286,0,0
2373,1.30861285714286,0,-0.0981459999999999
2377,1.30861285714286,-0.392584,0.0785167999999999
2382,-0.654307142857141,0,0
2386,-0.654307142857141,0,0
